Book ID,Title,Author,Genre,Publication Year,Copies Available
978-0-7512-5571-3,Legends: 1988,Crystal Leonard,History,1975,9
978-0-10-417727-3,The Wealth Of Jamess,Brittany Barker,Business & Finance,1967,17
978-1-80515-976-6,The Perfect Darkness,Tina Ortiz,Horror,2011,7
978-1-883051-58-7,Heroes In The Sky,Elizabeth Turner,Graphic Novels & Comics,1957,15
978-1-924246-64-4,The Lost Shadow,Shawn Curtis,Mystery/Thriller,1968,7
978-1-4734-1717-5,The Forgotten Joy,Valerie White,Cooking,2021,6
978-0-2287-5369-8,Jeremy'S Legacy,Mariah Moore,Graphic Novels & Comics,2000,4
978-0-8043-3675-8,Flames: A Affection Story,Melissa Alvarado,Romance,1996,17
978-0-569-30927-1,When Fun Meets First,Linda Mora,Children Books,2021,15
978-0-518-48132-4,Jennifer'S Journey,Chelsea Thompson,Children Books,1963,15
978-0-7731-7833-5,The Ultimate Genetic,Jamie Fisher,Science Fiction,2008,8
978-1-100-96332-7,The Final Spell,Jill Rodriguez,Fantasy,1953,2
978-1-55737-784-5,Ryan'S Whispers,Amanda Berry,Poetry,1990,7
978-1-384-27106-4,The Lost Discovery,Tammy Davis,Children Books,2022,12
978-1-958850-69-5,Beloved In The Sea,Brandon Gates,Romance,1989,18
978-0-323-03072-4,Chronicles: 1802,Courtney Davis,Biography & Autobiography,1967,17
978-1-9730-5686-7,The Final Financial,Gabrielle Nixon,Business & Finance,1972,3
978-1-74633-259-4,Crime Of The Perfect Age,Tonya Flores,Mystery/Thriller,1967,11
978-1-09-766982-0,The Chef Of Erins,Cynthia Long,Cooking,1953,1
978-1-62391-134-8,Cherished And The Kiss,Christine Acosta,Romance,1965,2
978-1-00-121653-9,Carolyn'S Heroes,Mr. David Simmons,History,1979,7
978-1-212-26034-5,How To Remember Journey,Michael Patel,Children Books,2004,18
978-0-9800465-0-2,Deception: 1934,Jennifer Leblanc,Mystery/Thriller,2006,16
978-0-917148-18-7,Unstoppable In The Night,Michael Phillips,Self-Help,2002,17
978-1-9794-8415-2,Oracle And The Legend,Tiffany Long,Fantasy,2009,2
978-0-376-05256-8,Systems Of The Forgotten Century,Diana Moore,Science & Technology,2016,18
978-0-02-773811-7,Dystopia Of The Lost Century,Nancy Carey,Science Fiction,1957,20
978-1-277-32084-8,Delicious In The Kingdom,Elizabeth Hall,Cooking,2012,1
978-1-5023-1173-3,Beloved Above River,Jeremy Davis,Romance,2003,9
978-1-252-01607-0,When Enterprise Meets Innovation,Dustin Bryant,Business & Finance,2020,9
978-1-01-150632-3,When Lessons Meets Shadows,Cameron Thompson,Biography & Autobiography,1995,20
978-1-929390-57-1,Perception Above Palace,Theresa Hernandez,Psychology,1964,6
978-0-86910-114-8,When Fear Meets Improvement,Austin Reyes,Self-Help,1957,6
978-1-198-36388-7,Oracle Through Tower,Jack Cannon,Fantasy,2006,7
978-1-81321-742-7,Cooking: 1821,Devin Russo,Cooking,1991,11
