Loan Number,Book ID,Member ID,Loan Date,Due Date,Return Date
00001,978-0-15-119391-2,797779,2020-01-27,2020-02-18,
00002,978-1-78715-672-2,232408,2020-01-28,2020-02-20,2020-02-21
00003,978-1-937506-41-4,121984,2020-02-14,2020-03-07,2020-03-09
00004,978-1-78232-082-1,797779,2020-02-15,2020-03-09,2020-03-12
00005,978-1-177-83757-6,797779,2020-02-17,2020-03-02,2020-03-03
00006,978-1-5339-3690-5,256182,2020-02-24,2020-03-19,2020-03-18
00007,978-1-60800-013-5,341768,2020-03-03,2020-03-22,2020-03-24
00008,978-0-270-92298-1,589118,2020-03-06,2020-04-01,2020-04-15
00009,978-1-160-83065-2,870102,2020-03-13,2020-04-04,2020-04-07
00010,978-1-153-88445-7,764751,2020-03-14,2020-04-03,2020-03-30
00011,978-0-396-46708-3,866204,2020-03-16,2020-04-07,2020-04-16
00012,978-0-245-16219-0,589118,2020-03-28,2020-04-16,2020-04-16
00013,978-1-78572-365-0,341768,2020-04-06,2020-05-01,2020-04-11
00014,978-0-507-06856-7,242099,2020-04-16,2020-05-03,2020-04-18
00015,978-1-80521-925-5,535227,2020-04-20,2020-05-14,2020-05-04
00016,978-1-150-84380-8,593851,2020-04-28,2020-05-17,2020-05-17
00017,978-1-942441-27-4,764751,2020-05-04,2020-06-01,2020-05-22
00018,978-1-356-47281-9,866204,2020-05-05,2020-05-21,2020-05-22
00019,978-0-658-57698-0,256182,2020-05-07,2020-05-25,2020-05-27
00020,978-0-405-97604-9,168881,2020-05-08,2020-05-23,2020-06-01
00021,978-0-8278-2844-5,948048,2020-05-08,2020-05-28,2020-06-07
00022,978-0-338-70269-2,168881,2020-05-10,2020-05-24,2020-05-25
00023,978-0-523-66340-1,959906,2020-05-10,2020-05-26,2020-06-19
00024,978-1-06-240090-8,687137,2020-05-15,2020-06-06,2020-06-07
00025,978-1-9867-2170-7,977060,2020-05-16,2020-06-13,2020-06-16
00026,978-1-69891-136-6,256182,2020-05-19,2020-06-10,2020-05-21
00027,978-0-13-215048-4,437662,2020-05-21,2020-06-09,2020-06-10
00028,978-1-5322-5708-7,959906,2020-05-21,2020-06-13,2020-06-19
00029,978-0-384-40230-0,797779,2020-05-22,2020-06-06,2020-06-08
00030,978-1-59353-027-3,959906,2020-05-24,2020-06-09,2020-06-12
00031,978-0-386-61459-6,866138,2020-05-26,2020-06-23,2020-06-26
00032,978-1-4562-7625-6,437662,2020-05-27,2020-06-20,2020-06-21
00033,978-0-11-351222-5,356164,2020-05-28,2020-06-12,2020-06-13
00034,978-1-64841-995-9,705650,2020-06-05,2020-07-02,2020-06-08
00035,978-1-330-38321-6,977060,2020-06-06,2020-07-01,2020-07-12
00036,978-1-84323-795-2,959906,2020-06-08,2020-07-03,2020-07-17
00037,978-0-338-69287-0,498489,2020-06-11,2020-07-03,2020-06-22
00038,978-1-251-98223-9,111588,2020-06-12,2020-07-01,2020-07-03
00039,978-1-871059-62-5,233629,2020-06-15,2020-07-05,2020-07-25
00040,978-1-186-59601-3,310315,2020-06-15,2020-06-29,2020-06-28
00041,978-0-468-79739-1,975879,2020-06-16,2020-07-14,2020-07-16
00042,978-0-603-73873-9,293925,2020-06-20,2020-07-12,2020-08-11
00043,978-1-06-074913-9,242099,2020-06-25,2020-07-22,2020-07-12
00044,978-1-915652-59-1,621640,2020-06-26,2020-07-14,2020-07-14
00045,978-1-68207-977-5,168881,2020-06-27,2020-07-20,2020-07-21
